,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
97,0emkFigRCrQnsaOOnhtoFY,0.631,0.893,7,-5.123,1,0.0411,0.0107,0.00632,0.147,0.548,130.015,235025,4,Gareth Emery,Concrete Angel (Radio Edit) (feat. Christina Novelli),https://p.scdn.co/mp3-preview/e35cb65dd14006b4ac0d56340d054ea73cb6e117?cid=1f08b74262ce473390052367a2428089,-1,1
98,3OsCxc7lvB2u9WZMGO69DF,0.566,0.903,4,-0.484,0,0.0385,0.00243,8.31e-05,0.0996,0.0406,150.074,226000,4,SLANDER,You Don't Even Know Me,https://p.scdn.co/mp3-preview/58a007fb7fb1adad15db8fd31158393665ecc001?cid=1f08b74262ce473390052367a2428089,-1,1
99,61Hn9ssQkVEWq4ZmPwHyzd,0.641,0.726,2,-6.921,1,0.0381,0.176,0.794,0.0972,0.0416,124.012,333871,4,Lane 8,"Oh, Miles",https://p.scdn.co/mp3-preview/8cd4d6bf1c322e8e33da19a4d727036962aceaf6?cid=1f08b74262ce473390052367a2428089,-1,1
100,4RdZfdkgW1OmkajhvcOxA1,0.511,0.795,6,-3.901,0,0.0509,0.0461,0,0.138,0.415,129.855,214154,4,Tritonal,Long Way Home,https://p.scdn.co/mp3-preview/8b4a3eeeee43caf24224632c86a087f53faadc8d?cid=1f08b74262ce473390052367a2428089,-1,1
101,5rpx047aanR0h9Rfp1wgBB,0.729,0.72,3,-6.69,1,0.0371,0.125,0.353,0.178,0.0388,122.015,578041,4,RÜFÜS DU SOL,Innerbloom,https://p.scdn.co/mp3-preview/74d08f56c70e25535a98e20d4d36fb4b7345461c?cid=1f08b74262ce473390052367a2428089,-1,1
102,3jYmQk6u6naf6aCZKXp8L4,0.293,0.696,6,-6.036,1,0.126,0.0396,0.000119,0.135,0.179,160.953,232937,4,ODESZA,Falls (feat. Sasha Sloan),https://p.scdn.co/mp3-preview/e204045895739b970203b317c00503d11ec5dc60?cid=1f08b74262ce473390052367a2428089,-1,1
103,5Rnv9hVUuyc5Q7jiFRHRwm,0.736,0.446,11,-9.437,1,0.0571,0.886,0.0137,0.075,0.231,106.046,204526,4,Hazey Eyes,Emotion,https://p.scdn.co/mp3-preview/ff23ef60903c639a35873b8f19b44f351fb41303?cid=1f08b74262ce473390052367a2428089,-1,1
104,5XU99uJiaZIlfy1ID23veH,0.4,0.87,3,-5.749,0,0.0439,0.228,0.0105,0.319,0.0582,119.991,238073,4,Franky Wah,Should Have Seen It Coming,https://p.scdn.co/mp3-preview/6536b7e35477658d4f9e3c636182076d403c0a13?cid=1f08b74262ce473390052367a2428089,-1,1
105,3EVwNrVchN0ohZAe9j03C3,0.501,0.969,7,-2.011,1,0.353,0.0132,5.15e-06,0.139,0.17,74.767,236833,4,SLANDER,Hate Being Alone,https://p.scdn.co/mp3-preview/0605f7f60f28954f905e7297bebebf03bdcbe2ec?cid=1f08b74262ce473390052367a2428089,-1,1
107,46EA3tB2G4GrOMhDie094Q,0.412,0.671,7,-6.545,0,0.0563,0.0137,3.35e-06,0.192,0.112,128.174,219401,4,Jason Ross,Known You Before (with Emilie Brandt),https://p.scdn.co/mp3-preview/228ca8034ba7df85a2b9cae64f34fa1243662a26?cid=1f08b74262ce473390052367a2428089,-1,1
108,0PjDVyVAkT8vfWD0pVmpPx,0.546,0.764,5,-4.641,1,0.053,0.0803,8.84e-06,0.0971,0.355,152.994,197100,4,Ekali,Hard To Say Goodbye (feat. Chloe Angelides),https://p.scdn.co/mp3-preview/74275d72b1432dfd6f26b7669dea497ca4654516?cid=1f08b74262ce473390052367a2428089,-1,1
111,6Wosx2euFPMT14UXiWudMy,0.603,0.723,9,-5.89,0,0.0454,0.025,0,0.0824,0.382,114.975,138913,4,R3HAB,Radio Silence,https://p.scdn.co/mp3-preview/598d573eaa9913e2468c82b011057f5ed88957be?cid=1f08b74262ce473390052367a2428089,-1,1
