,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
142,6OnF9h7sBPj4ZTSPTitYAH,0.668,0.365,8,-13.152,1,0.0714,0.844,0.942,0.104,0.468,125.727,261582,4,The Village Quartet,My Little Suede Shoes,https://p.scdn.co/mp3-preview/b735f89d4cb918dc8cc81fcc70a0f0e1b7f2c8f5?cid=1f08b74262ce473390052367a2428089,1,3
143,3zLE65A4teh3zifUWjUke9,0.522,0.398,0,-15.047,1,0.0327,0.758,0.934,0.0969,0.587,104.723,383320,4,Lennart Simonsson,"Sound the Trumpet, Beat the Drum - Welcome Ode for James II (Arr. J. Ekberg, P.V. Johansson and L. Simonsson)",https://p.scdn.co/mp3-preview/af1e76e7d965a2cac80670e62e0941ab93061bf6?cid=1f08b74262ce473390052367a2428089,1,3
145,3CGqAtOKUe4pn3j9kOKp4J,0.644,0.267,6,-18.116,0,0.0307,0.928,0.866,0.11,0.385,88.341,230313,4,Maxeen,Mo' Better Blues,https://p.scdn.co/mp3-preview/4d509fd47d6543f950f72ffdeed8974f033405f9?cid=1f08b74262ce473390052367a2428089,1,3
146,72WMLhzElYiDPqCf3LbCCx,0.593,0.5,0,-9.43,0,0.0627,0.732,0.281,0.724,0.522,85.499,459187,4,Nicholas Payton,Relaxin' with Nick,https://p.scdn.co/mp3-preview/af0c0aaa25305070d707ffa647e3646b042be615?cid=1f08b74262ce473390052367a2428089,1,3
148,3YBFhumb6zZDXbRS4verAp,0.539,0.164,5,-23.776,0,0.0302,0.873,0.237,0.12,0.438,81.323,258386,4,Noé Huchard,You Should Feel It Now,https://p.scdn.co/mp3-preview/b7bdada76c113fdcd5126e20263222071bf87191?cid=1f08b74262ce473390052367a2428089,1,3
149,098hhwrTcsdOKOC9Gj78Ny,0.571,0.41,0,-11.428,1,0.0413,0.716,0.755,0.0832,0.499,81.218,202904,4,Jacob Simon Band,Perdido,https://p.scdn.co/mp3-preview/7d9b454e34b22a60613079e040a3ecaaee7ec65d?cid=1f08b74262ce473390052367a2428089,1,3
152,1H669K2zLp8ombaLNTCi96,0.609,0.595,7,-6.851,1,0.0233,0.487,1.81e-06,0.198,0.581,84.959,213526,4,Blitzen Trapper,Requiem,https://p.scdn.co/mp3-preview/774238ad3776bb65857010530d8c72350899fa54?cid=1f08b74262ce473390052367a2428089,1,3
154,1beRzsjfMsFtrXkw0I4OPZ,0.485,0.414,3,-9.575,1,0.0282,0.818,0.00137,0.177,0.638,126.686,117147,4,Langhorne Slim,Mighty Soul,https://p.scdn.co/mp3-preview/8decd95275a00c79f2eff450cb54b3353a7d0d3f?cid=1f08b74262ce473390052367a2428089,1,3
156,2ZJ1cbWdNlBjMlWPnpSvYT,0.681,0.287,4,-11.267,1,0.0352,0.743,2.65e-05,0.1,0.491,144.089,161325,4,Wild Child,Going In,https://p.scdn.co/mp3-preview/553bc8dc80ff71d22be480015cc1ce575224d45d?cid=1f08b74262ce473390052367a2428089,1,3
158,23cj0rlc0UtTBaCg60VCkm,0.604,0.841,1,-5.145,1,0.0423,0.0299,0.00382,0.136,0.578,138.976,203310,4,Ezra Vine,Celeste,https://p.scdn.co/mp3-preview/8fbf74b41549d04834f5b86a48ed6cfb90f19799?cid=1f08b74262ce473390052367a2428089,1,3
159,47KDDZgFiX1w6RFOuLXsSn,0.564,0.354,7,-10.85,1,0.0334,0.73,3.43e-06,0.208,0.423,98.075,240587,3,Shakey Graves,Tomorrow,https://p.scdn.co/mp3-preview/0fd30c5c5ef44ef41b1b83d206dcd78787b35be0?cid=1f08b74262ce473390052367a2428089,1,3
160,3ihp0qYSN89GBnrgF6GhRh,0.651,0.621,8,-7.271,1,0.0359,0.637,0.000122,0.0712,0.914,77.578,135560,4,Beta Radio,Either Way,https://p.scdn.co/mp3-preview/9b53808e908fd6f7ee73a1c995009d1998793b07?cid=1f08b74262ce473390052367a2428089,1,3
162,4KhBvLbRr58rHPF24bdL9Q,0.662,0.574,4,-8.696,1,0.0261,0.298,0.00902,0.115,0.948,109.085,239805,4,Caamp,Officer of Love,https://p.scdn.co/mp3-preview/ad896bf5e4715616f592882a28d3355f30bd20f5?cid=1f08b74262ce473390052367a2428089,1,3
163,0C9uaJt51ytJgwiZpRYyGM,0.6,0.861,5,-3.975,1,0.0572,0.00616,0,0.112,0.318,110.05,229960,4,The Lone Bellow,Good Times,https://p.scdn.co/mp3-preview/e6cedbb3db51b4789655e3147c933a3226bb1a73?cid=1f08b74262ce473390052367a2428089,1,3
165,4wDhECcwcKR4jZEEDiye5a,0.66,0.618,8,-8.136,1,0.04,0.666,0.00176,0.184,0.302,108.942,195680,4,Devarrow,Little Road,https://p.scdn.co/mp3-preview/ba5c0c3d3bd247b2566fbd30005508e0890e8d46?cid=1f08b74262ce473390052367a2428089,1,3
166,2fpDrL2Vpee0JnM6AoUFvl,0.486,0.638,0,-6.231,1,0.0323,0.000921,0,0.078,0.178,144.458,199827,4,Mt. Joy,Silver Lining,https://p.scdn.co/mp3-preview/94113b0af3d3119a1190c88a918d0ddc5cd078da?cid=1f08b74262ce473390052367a2428089,1,3
167,2LY0DjFGGF0JQugFzWSGpi,0.661,0.585,5,-11.255,1,0.0367,0.658,0.876,0.102,0.606,129.98,273533,4,Angus & Julia Stone,Chateau,https://p.scdn.co/mp3-preview/a72a04ac4482c66c1fdeeb2fb5f7d20840e163b2?cid=1f08b74262ce473390052367a2428089,1,3
168,4F9jpNQDKRFoyM4Ebpni6S,0.428,0.724,11,-7.264,0,0.0434,0.183,0.000136,0.251,0.184,146.917,207519,4,Family and Friends,Amadeus,https://p.scdn.co/mp3-preview/16ca8d7f8c1a6eea666324384fa127fa208db6d2?cid=1f08b74262ce473390052367a2428089,1,3
171,46quRQAj7MxBJ38B5EyJOc,0.749,0.439,5,-6.838,1,0.0422,0.0362,0.000389,0.103,0.288,176.002,214150,4,Lake Street Dive,Making Do,https://p.scdn.co/mp3-preview/689d40cf22006482e4c5557e192f752c412cb5e7?cid=1f08b74262ce473390052367a2428089,1,3
174,2OjZhG8BnvrsVWqGnZk4PO,0.429,0.699,8,-8.436,1,0.0404,0.0352,0.291,0.126,0.686,82.971,256630,4,TOLEDO,Sunday Funday,https://p.scdn.co/mp3-preview/ec4ad4b2bf9d4778cdc6e66cacda154e61bb3a49?cid=1f08b74262ce473390052367a2428089,1,3
175,08cXy6KUizaAelYXtcew3w,0.388,0.595,1,-9.799,1,0.0325,0.663,5.58e-05,0.178,0.596,190.043,204213,4,Milo Greene,1957,https://p.scdn.co/mp3-preview/a2bee16295a2cfdb9fecfcd8203115dd6151cc49?cid=1f08b74262ce473390052367a2428089,1,3
