id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,binary_label,multiclass_label
5ijpTRpeb9bAwRYoJZoNkd,0.275,0.29,5,-11.85,1,0.0299,0.895,0.0684,0.132,0.128,73.268,235647,4,-1,1
1KprjsAhTycuukyoGztd9c,0.753,0.432,2,-14.786,1,0.256,0.81,0.00141,0.117,0.0834,109.929,161455,4,-1,1
5mkRGTbm3BwPzNQL9oBV9e,0.771,0.607,5,-12.02,0,0.113,0.336,0,0.122,0.79,90.039,101000,4,-1,1
7BeiZ8iLlvXcz9oM666AbM,0.587,0.373,0,-10.052,0,0.0294,0.786,0.00308,0.0991,0.118,119.951,210000,4,-1,1
2RaxIu96a4MYj9hOqG0dEF,0.451,0.277,5,-11.541,1,0.0274,0.601,1.88e-06,0.104,0.23,92.138,206435,4,-1,1
1VvHMWM4x5KNNIkeDfepKg,0.68,0.753,7,-5.008,1,0.045,0.368,2.23e-05,0.137,0.653,87.955,134668,4,-1,1
4SeZpWSgq1c8a0MY3iVy1f,0.55,0.448,11,-7.382,1,0.0314,0.879,0,0.0734,0.49,99.713,183000,4,-1,1
2nosu6W4ec8WgOhEEeVwtR,0.598,0.486,3,-6.76,1,0.0354,0.757,0,0.139,0.605,120.08,163997,3,-1,1
5pGXVsla7b7GX9CFRdTM3P,0.65,0.382,5,-11.629,1,0.0405,0.675,1.17e-05,0.123,0.463,143.976,191953,4,-1,1
2dEeqbtc9uQ9YeMEhbgesL,0.831,0.552,11,-5.226,1,0.122,0.692,0.00239,0.108,0.399,169.952,138353,4,-1,1
0ybxTzajzUG04BiF7Kw1PG,0.711,0.585,2,-6.613,1,0.0266,0.335,7.46e-05,0.111,0.605,86.947,142427,4,-1,1
0eKM5JnaKdYEl71BxCcCg9,0.747,0.524,11,-9.638,1,0.043,0.608,0.0002,0.0968,0.319,102.016,169613,4,-1,1
3wIYPRYxIc70TrunjfNn4K,0.451,0.0516,0,-19.641,1,0.0458,0.952,0,0.104,0.309,114.224,272000,4,-1,1
0NDx2QYoEdgH9HTn5yfXeA,0.691,0.388,1,-12.401,0,0.0537,0.767,0.00337,0.0996,0.304,117.001,186130,4,-1,1
3Ij84tEBt10HFVNaMomt4z,0.531,0.407,9,-12.517,0,0.0471,0.759,7.27e-05,0.255,0.17,201.869,137877,4,-1,1
1FRilXJyZ9qZHARWIq6Fag,0.725,0.319,7,-9.269,1,0.0552,0.331,0.00287,0.138,0.514,160.984,169938,4,-1,1
5OplD6jkrUT7XJFFIM6mph,0.697,0.41,7,-9.149,1,0.144,0.412,0.79,0.111,0.377,166.133,164947,4,-1,1
0yTfXjMmoCQVmn2kYjBodD,0.709,0.805,4,-8.093,1,0.0319,0.00969,0.00328,0.173,0.782,123.932,170694,4,-1,1
6bqUTCpJ0Dn2H3G3wWkmSV,0.705,0.539,6,-9.251,1,0.0529,0.0127,0.00812,0.116,0.681,149.94,206981,4,-1,1
5oyJeC0uYWnRAf4N7JmK71,0.733,0.605,6,-7.961,1,0.0606,0.274,0.000287,0.0892,0.737,160.004,175500,4,-1,1
4bEghJHwz3GaFtY9OY4Bnr,0.362,0.41,6,-7.357,0,0.108,0.0848,0.000117,0.526,0.509,73.321,142971,4,-1,1
6BKYmxhNdWFDsIZDPDpdtQ,0.755,0.427,7,-8.606,1,0.0491,0.639,0.0596,0.0825,0.265,140.024,156856,4,-1,1
7xgUM35RsK2F4XBgVGrrIk,0.784,0.519,5,-8.825,1,0.0292,0.606,8.76e-06,0.101,0.659,97.012,183093,4,-1,1
0DLv7bCzYht1B7zLyNObWE,0.499,0.595,1,-9.285,0,0.0315,0.0186,0.000405,0.118,0.21,146.004,148039,4,-1,1
4hjbxjZpJ8H6qRCzDOGI0M,0.478,0.241,2,-17.122,1,0.0386,0.716,0.216,0.354,0.11,75.285,267360,4,-1,1
5zqDpOXBAtD4j3Z7puVqbC,0.496,0.496,2,-9.186,1,0.0318,0.641,0.0014,0.114,0.263,139.946,157714,4,-1,1
4CxFN5zON70B3VOPBYbd6P,0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,219147,4,-1,1
04NMWz4ctkuILV6mUR2iWp,0.718,0.483,8,-6.596,1,0.0381,0.387,0.000208,0.124,0.29,103.997,209132,4,-1,1
6GGdkwYk4NXuiIcQD16AZg,0.545,0.169,0,-16.249,1,0.132,0.908,0,0.0942,0.482,98.225,124853,4,-1,1
2xY30qWldS9B5XC9R1PmbG,0.641,0.495,6,-9.329,0,0.0567,0.65,0,0.243,0.239,163.931,131707,4,-1,1
6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4,-1,1
65L1NnsTeR1K8iVudv84J1,0.53,0.593,0,-4.443,0,0.173,0.631,0,0.106,0.398,184.145,164464,3,-1,1
